"overviewpage","tournament","tournament_group","league","region","year","matchid","datetime_utc","matchround","matchnumber","team","opposingteam","result","gameswon","gameslost"
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 7_5","2014-09-27 11:05:00","Day 7","5","Oh My God","Samsung Blue","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 7_5","2014-09-27 11:05:00","Day 7","5","Samsung Blue","Oh My God","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 7_6","2014-09-27 12:11:00","Day 7","6","Alliance","NaJin White Shield","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 7_6","2014-09-27 12:11:00","Day 7","6","NaJin White Shield","Alliance","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_1","2014-09-28 05:56:00","Day 8","1","Cloud9","KaBuM! Esports","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_1","2014-09-28 05:56:00","Day 8","1","KaBuM! Esports","Cloud9","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_2","2014-09-28 07:00:00","Day 8","2","Samsung Blue","LMQ","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_2","2014-09-28 07:00:00","Day 8","2","LMQ","Samsung Blue","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_3","2014-09-28 08:12:00","Day 8","3","Alliance","KaBuM! Esports","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_3","2014-09-28 08:12:00","Day 8","3","KaBuM! Esports","Alliance","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_4","2014-09-28 09:14:00","Day 8","4","Samsung Blue","Fnatic","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_4","2014-09-28 09:14:00","Day 8","4","Fnatic","Samsung Blue","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_5","2014-09-28 10:30:00","Day 8","5","Cloud9","NaJin White Shield","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_5","2014-09-28 10:30:00","Day 8","5","NaJin White Shield","Cloud9","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_6","2014-09-28 11:56:00","Day 8","6","LMQ","Oh My God","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_6","2014-09-28 11:56:00","Day 8","6","Oh My God","LMQ","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_7","2014-09-28 13:01:00","Day 8","7","Cloud9","NaJin White Shield","Loss",0,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Day 8_7","2014-09-28 13:01:00","Day 8","7","NaJin White Shield","Cloud9","Win",1,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Finals_1","2014-10-19 09:44:00","Finals","1","Star Horn Royal Club","Samsung White","Loss",1,3
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Finals_1","2014-10-19 09:44:00","Finals","1","Samsung White","Star Horn Royal Club","Win",3,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Quarterfinals_1","2014-10-03 10:34:00","Quarterfinals","1","Samsung White","TSM","Win",3,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Quarterfinals_1","2014-10-03 10:34:00","Quarterfinals","1","TSM","Samsung White","Loss",1,3
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Quarterfinals_2","2014-10-04 08:06:00","Quarterfinals","2","Cloud9","Samsung Blue","Loss",1,3
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Quarterfinals_2","2014-10-04 08:06:00","Quarterfinals","2","Samsung Blue","Cloud9","Win",3,1
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Quarterfinals_3","2014-10-05 08:50:00","Quarterfinals","3","Star Horn Royal Club","EDward Gaming","Win",3,2
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Quarterfinals_3","2014-10-05 08:50:00","Quarterfinals","3","EDward Gaming","Star Horn Royal Club","Loss",2,3
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Quarterfinals_4","2014-10-06 10:25:00","Quarterfinals","4","Oh My God","NaJin White Shield","Win",3,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Quarterfinals_4","2014-10-06 10:25:00","Quarterfinals","4","NaJin White Shield","Oh My God","Loss",0,3
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Semifinals_1","2014-10-11 09:55:00","Semifinals","1","Samsung Blue","Samsung White","Loss",0,3
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Semifinals_1","2014-10-11 09:55:00","Semifinals","1","Samsung White","Samsung Blue","Win",3,0
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Semifinals_2","2014-10-12 12:15:00","Semifinals","2","Oh My God","Star Horn Royal Club","Loss",2,3
"2014 Season World Championship","Worlds 2014","Worlds 2014","World Championship","International",2014,"2014 Season World Championship_Semifinals_2","2014-10-12 12:15:00","Semifinals","2","Star Horn Royal Club","Oh My God","Win",3,2
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_1","2015-10-01 13:27:00","Day 1","1","Invictus Gaming","Fnatic","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_1","2015-10-01 13:27:00","Day 1","1","Fnatic","Invictus Gaming","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_2","2015-10-01 15:24:00","Day 1","2","ahq eSports Club","Cloud9","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_2","2015-10-01 15:24:00","Day 1","2","Cloud9","ahq eSports Club","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_3","2015-10-01 16:18:00","Day 1","3","SK Telecom T1","H2k-Gaming","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_3","2015-10-01 16:18:00","Day 1","3","H2k-Gaming","SK Telecom T1","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_4","2015-10-01 17:17:00","Day 1","4","Bangkok Titans","EDward Gaming","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_4","2015-10-01 17:17:00","Day 1","4","EDward Gaming","Bangkok Titans","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_5","2015-10-01 18:07:00","Day 1","5","Flash Wolves","Counter Logic Gaming","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_5","2015-10-01 18:07:00","Day 1","5","Counter Logic Gaming","Flash Wolves","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_6","2015-10-01 19:20:00","Day 1","6","KOO Tigers","paiN Gaming","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 1_6","2015-10-01 19:20:00","Day 1","6","paiN Gaming","KOO Tigers","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_1","2015-10-02 13:54:00","Day 2","1","TSM","KT Rolster","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_1","2015-10-02 13:54:00","Day 2","1","KT Rolster","TSM","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_2","2015-10-02 15:02:00","Day 2","2","LGD Gaming","Origen","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_2","2015-10-02 15:02:00","Day 2","2","Origen","LGD Gaming","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_3","2015-10-02 16:32:00","Day 2","3","SK Telecom T1","Bangkok Titans","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_3","2015-10-02 16:32:00","Day 2","3","Bangkok Titans","SK Telecom T1","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_4","2015-10-02 17:30:00","Day 2","4","EDward Gaming","H2k-Gaming","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_4","2015-10-02 17:30:00","Day 2","4","H2k-Gaming","EDward Gaming","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_5","2015-10-02 18:30:00","Day 2","5","KOO Tigers","Flash Wolves","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_5","2015-10-02 18:30:00","Day 2","5","Flash Wolves","KOO Tigers","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_6","2015-10-02 19:31:00","Day 2","6","paiN Gaming","Counter Logic Gaming","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 2_6","2015-10-02 19:31:00","Day 2","6","Counter Logic Gaming","paiN Gaming","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 3_1","2015-10-03 11:51:00","Day 3","1","EDward Gaming","SK Telecom T1","Loss",0,1
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 3_1","2015-10-03 11:51:00","Day 3","1","SK Telecom T1","EDward Gaming","Win",1,0
"2015 Season World Championship","Worlds 2015","Worlds 2015","World Championship","International",2015,"2015 Season World Championship_Day 3_2","2015-10-03 13:00:00","Day 3","2","Bangkok Titans","H2k-Gaming","Loss",0,1
