"tournament","tournament_group","overviewpage","team","nplayerinteam","player","role","flag"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Liquid",1,"Impact","Top","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Liquid",2,"Xmithie","Jungle","Philippines"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Liquid",3,"Pobelter","Mid","United States"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Liquid",4,"Doublelift","Bot","United States"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Liquid",5,"Olleh","Support","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Liquid",6,"Cain","Coach","South Korea"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Vitality",1,"Cabochard","Top","France"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Vitality",2,"Kikis","Jungle","Poland"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Vitality",3,"Jiizuke","Mid","Italy"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Vitality",4,"Attila","Bot","Portugal"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Vitality",5,"Jactroll","Support","Poland"
"Worlds 2018 Main Event","Worlds 2018","2018 Season World Championship/Main Event","Team Vitality",6,"YamatoCannon","Coach","Sweden"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","ahq eSports Club",1,"Ziv (Chen Yi)","Top","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","ahq eSports Club",2,"Alex (Chen Yu-Ming)","Jungle","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","ahq eSports Club",3,"Rainbow (Kim Soo-gi)","Mid","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","ahq eSports Club",4,"Apex (Hsieh Chia-Wei)","Mid","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","ahq eSports Club",5,"Wako","Bot","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","ahq eSports Club",6,"Ysera","Support","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","ahq eSports Club",7,"NeXAbc","Coach","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Cloud9",1,"Licorice","Top","Canada"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Cloud9",2,"Svenskeren","Jungle","Denmark"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Cloud9",3,"Blaber","Jungle","United States"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Cloud9",4,"Nisqy","Mid","Belgium"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Cloud9",5,"Sneaky","Bot","United States"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Cloud9",6,"Deftly","Bot","United States"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Cloud9",7,"Zeyzal","Support","United States"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Cloud9",8,"Reapered","Coach","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Clutch Gaming",1,"Huni","Top","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Clutch Gaming",2,"Lira","Jungle","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Clutch Gaming",3,"Damonte","Mid","United States"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Clutch Gaming",4,"Cody Sun","Bot","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Clutch Gaming",5,"Vulcan (Philippe Laflamme)","Support","Canada"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Clutch Gaming",6,"Thinkcard","Coach","United States"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","DAMWON Gaming",1,"Nuguri","Top","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","DAMWON Gaming",2,"Canyon","Jungle","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","DAMWON Gaming",3,"ShowMaker","Mid","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","DAMWON Gaming",4,"Nuclear","Bot","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","DAMWON Gaming",5,"BeryL","Support","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","DAMWON Gaming",6,"Kim (Kim Jeong-soo)","Coach","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Fnatic",1,"Bwipo","Top","Belgium"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Fnatic",2,"Broxah","Jungle","Denmark"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Fnatic",3,"Nemesis","Mid","Slovenia"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Fnatic",4,"Rekkles","Bot","Sweden"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Fnatic",5,"Hylissang","Support","Bulgaria"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Fnatic",6,"Youngbuck","Coach","Netherlands"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","FunPlus Phoenix",1,"GimGoon","Top","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","FunPlus Phoenix",2,"Tian","Jungle","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","FunPlus Phoenix",3,"Doinb","Mid","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","FunPlus Phoenix",4,"Lwx","Bot","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","FunPlus Phoenix",5,"Crisp","Support","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","FunPlus Phoenix",6,"WarHorse","Coach","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","G2 Esports",1,"Wunder","Top","Denmark"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","G2 Esports",2,"Jankos","Jungle","Poland"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","G2 Esports",3,"Caps","Mid","Denmark"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","G2 Esports",4,"Perkz","Bot","Croatia"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","G2 Esports",5,"Mikyx","Support","Slovenia"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","G2 Esports",6,"GrabbZ","Coach","Germany"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","GAM Esports",1,"Zeros","Top","Vietnam"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","GAM Esports",2,"Levi","Jungle","Vietnam"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","GAM Esports",3,"Kiaya","Mid","Vietnam"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","GAM Esports",4,"Zin","Bot","Vietnam"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","GAM Esports",5,"Hieu3","Support","Vietnam"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","GAM Esports",6,"Slay","Support","Vietnam"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","GAM Esports",7,"Yuna","Coach","Vietnam"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Griffin (Korean Team)",1,"Sword (Choi Sung-won)","Top","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Griffin (Korean Team)",2,"Tarzan (Lee Seung-yong)","Jungle","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Griffin (Korean Team)",3,"Chovy","Mid","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Griffin (Korean Team)",4,"Viper (Park Do-hyeon)","Bot","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Griffin (Korean Team)",5,"Lehends","Support","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Griffin (Korean Team)",6,"Chaos (Byun Young-sub)","Coach","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Hong Kong Attitude",1,"3Z","Top","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Hong Kong Attitude",2,"Crash","Jungle","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Hong Kong Attitude",3,"M1ssion","Mid","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Hong Kong Attitude",4,"Unified","Bot","Hong Kong"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Hong Kong Attitude",5,"Kaiwing","Support","Hong Kong"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Hong Kong Attitude",6,"Chawy","Coach","Singapore"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Invictus Gaming",1,"TheShy","Top","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Invictus Gaming",2,"Leyan","Jungle","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Invictus Gaming",3,"Ning","Jungle","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Invictus Gaming",4,"Rookie","Mid","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Invictus Gaming",5,"JackeyLove","Bot","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Invictus Gaming",6,"Baolan","Support","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Invictus Gaming",7,"Mafa","Coach","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","J Team",1,"Rest","Top","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","J Team",2,"Hana","Jungle","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","J Team",3,"FoFo","Mid","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","J Team",4,"Lilv","Bot","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","J Team",5,"Koala (Lin Chih-Chiang)","Support","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","J Team",6,"REFRA1N","Coach","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Royal Never Give Up",1,"Langx","Top","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Royal Never Give Up",2,"Karsa","Jungle","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Royal Never Give Up",3,"Xiaohu","Mid","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Royal Never Give Up",4,"Uzi (Jian Zi-Hao)","Bot","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Royal Never Give Up",5,"Ming (Shi Sen-Ming)","Support","China"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Royal Never Give Up",6,"Steak","Coach","Taiwan"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","SK Telecom T1",1,"Khan","Top","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","SK Telecom T1",2,"Clid","Jungle","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","SK Telecom T1",3,"Faker","Mid","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","SK Telecom T1",4,"Teddy","Bot","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","SK Telecom T1",5,"Effort","Support","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","SK Telecom T1",6,"Mata","Support","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","SK Telecom T1",7,"Zefa","Coach","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Splyce",1,"Vizicsacsi","Top","Hungary"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Splyce",2,"Xerxe","Jungle","Romania"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Splyce",3,"Humanoid","Mid","Czech Republic"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Splyce",4,"Kobbe","Bot","Denmark"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Splyce",5,"Norskeren","Support","Norway"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Splyce",6,"Duke (Hadrien Forestier)","Coach","France"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Team Liquid",1,"Impact","Top","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Team Liquid",2,"Xmithie","Jungle","Philippines"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Team Liquid",3,"Jensen","Mid","Denmark"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Team Liquid",4,"Doublelift","Bot","United States"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Team Liquid",5,"CoreJJ","Support","South Korea"
"Worlds 2019 Main Event","Worlds 2019","2019 Season World Championship/Main Event","Team Liquid",6,"Cain","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DAMWON Gaming",1,"Nuguri","Top","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DAMWON Gaming",2,"Canyon","Jungle","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DAMWON Gaming",3,"ShowMaker","Mid","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DAMWON Gaming",4,"Ghost (Jang Yong-jun)","Bot","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DAMWON Gaming",5,"BeryL","Support","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DAMWON Gaming",6,"Zefa","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DAMWON Gaming",7,"Daeny","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DRX",1,"Doran (Choi Hyeon-joon)","Top","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DRX",2,"Pyosik","Jungle","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DRX",3,"Chovy","Mid","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DRX",4,"Deft","Bot","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DRX",5,"Keria","Support","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DRX",6,"cvMax","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","DRX",7,"Museong","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","FlyQuest",1,"Solo (Colin Earnest)","Top","United States"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","FlyQuest",2,"Santorin","Jungle","Denmark"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","FlyQuest",3,"PowerOfEvil","Mid","Germany"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","FlyQuest",4,"WildTurtle","Bot","Canada"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","FlyQuest",5,"IgNar","Support","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","FlyQuest",6,"Curry","Coach","United States"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","FlyQuest",7,"MasH","Coach","Canada"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Fnatic",1,"Bwipo","Top","Belgium"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Fnatic",2,"Selfmade","Jungle","Poland"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Fnatic",3,"Nemesis","Mid","Slovenia"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Fnatic",4,"Rekkles","Bot","Sweden"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Fnatic",5,"Hylissang","Support","Bulgaria"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Fnatic",6,"Mithy","Coach","Spain"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Fnatic",7,"Shaves","Coach","United Kingdom"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","G2 Esports",1,"Wunder","Top","Denmark"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","G2 Esports",2,"Jankos","Jungle","Poland"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","G2 Esports",3,"Caps","Mid","Denmark"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","G2 Esports",4,"Perkz","Bot","Croatia"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","G2 Esports",5,"Mikyx","Support","Slovenia"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","G2 Esports",6,"GrabbZ","Coach","Germany"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","G2 Esports",7,"Duffman","Coach","United Kingdom"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Gen.G",1,"Rascal","Top","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Gen.G",2,"Clid","Jungle","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Gen.G",3,"Bdd","Mid","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Gen.G",4,"Ruler","Bot","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Gen.G",5,"Life","Support","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Gen.G",6,"oDin (Ju Yeong-dal)","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Gen.G",7,"Tom (Im Jae-hyeon)","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","JD Gaming",1,"Zoom","Top","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","JD Gaming",2,"Kanavi","Jungle","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","JD Gaming",3,"Yagao","Mid","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","JD Gaming",4,"LokeN","Bot","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","JD Gaming",5,"LvMao","Support","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","JD Gaming",6,"Homme","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","JD Gaming",7,"huge","Coach","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","LGD Gaming",1,"Langx","Top","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","LGD Gaming",2,"Peanut","Jungle","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","LGD Gaming",3,"xiye","Mid","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","LGD Gaming",4,"Kramer","Bot","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","LGD Gaming",5,"Mark (Ling Xu)","Support","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","LGD Gaming",6,"Maizijian","Head Coach","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","LGD Gaming",7,"Eimy","Coach","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Machi Esports",1,"PK","Top","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Machi Esports",2,"Gemini","Jungle","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Machi Esports",3,"Mission","Mid","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Machi Esports",4,"Bruce","Bot","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Machi Esports",5,"Koala (Lin Chih-Chiang)","Support","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Machi Esports",6,"Mountain (Xue Zhao-Hong)","Coach","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Machi Esports",7,"Dreamer","Coach","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","PSG Talon",1,"Hanabi (Su Chia-Hsiang)","Top","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","PSG Talon",2,"River (Kim Dong-woo)","Jungle","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","PSG Talon",3,"Tank","Mid","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","PSG Talon",4,"Unified","Bot","Hong Kong"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","PSG Talon",5,"Kaiwing","Support","Hong Kong"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","PSG Talon",6,"Bigfafa","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","PSG Talon",7,"Saroo","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Rogue (European Team)",1,"Finn","Top","Sweden"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Rogue (European Team)",2,"Inspired","Jungle","Poland"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Rogue (European Team)",3,"Larssen","Mid","Sweden"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Rogue (European Team)",4,"Hans sama","Bot","France"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Rogue (European Team)",5,"Vander","Support","Poland"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Rogue (European Team)",6,"fredy122","Coach","United Kingdom"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Rogue (European Team)",7,"Blumigan","Coach","Sweden"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Suning",1,"Bin (Chen Ze-Bin)","Top","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Suning",2,"SofM","Jungle","Vietnam"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Suning",3,"Angel (Xiang Tao)","Mid","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Suning",4,"huanfeng","Bot","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Suning",5,"SwordArt","Support","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Suning",6,"Chashao","Coach","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Suning",7,"Dian","Coach","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Team Liquid",1,"Impact","Top","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Team Liquid",2,"Broxah","Jungle","Denmark"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Team Liquid",3,"Jensen","Mid","Denmark"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Team Liquid",4,"Tactical","Bot","United States"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Team Liquid",5,"CoreJJ","Support","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Team Liquid",6,"Jatt","Coach","Canada"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Team Liquid",7,"Cain","Coach","South Korea"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Top Esports",1,"369","Top","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Top Esports",2,"Karsa","Jungle","Taiwan"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Top Esports",3,"knight (Zhuo Ding)","Mid","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Top Esports",4,"JackeyLove","Bot","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Top Esports",5,"yuyanjia","Support","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Top Esports",6,"Crescent (Luo Sheng)","Coach","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","TSM",1,"Broken Blade","Top","Germany"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","TSM",2,"Spica","Jungle","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","TSM",3,"Bjergsen","Mid","Denmark"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","TSM",4,"Doublelift","Bot","United States"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","TSM",5,"Biofrost","Support","China"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","TSM",6,"Parth","Coach","United States"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","TSM",7,"Mabrey","Coach","United States"
"Worlds 2020 Main Event","Worlds 2020","2020 Season World Championship/Main Event","Unicorns of Love.CIS",1,"BOSS (Vladislav Fomin)","Top","Russia"
