"tournament","tournament_group","overviewpage","team","nplayerinteam","player","role","flag"
"Worlds 2015","Worlds 2015","2015 Season World Championship","ahq eSports Club",5,"Albis","Support","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","ahq eSports Club",6,"Backstairs","Coach","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Bangkok Titans",1,"WarL0cK","Top","Thailand"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Bangkok Titans",2,"007x","Jungle","Thailand"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Bangkok Titans",3,"G4","Mid","Thailand"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Bangkok Titans",4,"Lloyd","Bot","Thailand"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Bangkok Titans",5,"Moss (Sorawat Boonphrom)","Support","Thailand"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Bangkok Titans",6,"Cabbage","Coach","Thailand"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Cloud9",1,"Balls","Top","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Cloud9",2,"Hai","Jungle","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Cloud9",3,"Incarnati0n","Mid","Denmark"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Cloud9",4,"Sneaky","Bot","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Cloud9",5,"LemonNation","Support","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Cloud9",6,"Bubbadub","Coach","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Counter Logic Gaming",1,"ZionSpartan","Top","Canada"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Counter Logic Gaming",2,"Xmithie","Jungle","Philippines"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Counter Logic Gaming",3,"Pobelter","Mid","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Counter Logic Gaming",4,"Doublelift","Bot","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Counter Logic Gaming",5,"aphromoo","Support","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Counter Logic Gaming",6,"Zikzlol","Coach","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","EDward Gaming",1,"AmazingJ","Top","Hong Kong"
"Worlds 2015","Worlds 2015","2015 Season World Championship","EDward Gaming",2,"Koro1","Top","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","EDward Gaming",3,"Clearlove","Jungle","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","EDward Gaming",4,"PawN","Mid","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","EDward Gaming",5,"Deft","Bot","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","EDward Gaming",6,"Meiko","Support","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","EDward Gaming",7,"Aaron (Ji Xing)","Coach","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Flash Wolves",1,"Steak","Top","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Flash Wolves",2,"Karsa","Jungle","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Flash Wolves",3,"Maple (Huang Yi-Tang)","Mid","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Flash Wolves",4,"Kkramer","Bot","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Flash Wolves",5,"NL (Hsiung Wen-An)","Bot","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Flash Wolves",6,"SwordArt","Support","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Flash Wolves",7,"Fluidwind","Coach","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Fnatic",1,"Huni","Top","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Fnatic",2,"Reignover","Jungle","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Fnatic",3,"Febiven","Mid","Netherlands"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Fnatic",4,"Rekkles","Bot","Sweden"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Fnatic",5,"YellOwStaR","Support","France"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Fnatic",6,"Deilor","Coach","Spain"
"Worlds 2015","Worlds 2015","2015 Season World Championship","H2k-Gaming",1,"Odoamne","Top","Romania"
"Worlds 2015","Worlds 2015","2015 Season World Championship","H2k-Gaming",2,"loulex","Jungle","France"
"Worlds 2015","Worlds 2015","2015 Season World Championship","H2k-Gaming",3,"Ryu","Mid","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","H2k-Gaming",4,"Hjarnan","Bot","Sweden"
"Worlds 2015","Worlds 2015","2015 Season World Championship","H2k-Gaming",5,"kaSing","Support","United Kingdom"
"Worlds 2015","Worlds 2015","2015 Season World Championship","H2k-Gaming",6,"pr0lly","Coach","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Invictus Gaming",1,"Zz1tai","Top","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Invictus Gaming",2,"KAKAO","Jungle","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Invictus Gaming",3,"Rookie","Mid","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Invictus Gaming",4,"Kid","Bot","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Invictus Gaming",5,"Time (Tang Jing-Tai)","Bot","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Invictus Gaming",6,"Kitties","Support","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Invictus Gaming",7,"Mafa","Coach","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KOO Tigers",1,"Smeb","Top","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KOO Tigers",2,"Hojin","Jungle","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KOO Tigers",3,"Kuro","Mid","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KOO Tigers",4,"PraY","Bot","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KOO Tigers",5,"GorillA","Support","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KOO Tigers",6,"NoFe","Coach","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KT Rolster",1,"Ssumday","Top","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KT Rolster",2,"Score","Jungle","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KT Rolster",3,"Nagne","Mid","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KT Rolster",4,"Arrow","Bot","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KT Rolster",5,"Piccaboo","Support","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","KT Rolster",6,"Oh Chang-jong","Coach","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","LGD Gaming",1,"Acorn","Top","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","LGD Gaming",2,"Flame","Top","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","LGD Gaming",3,"TBQ","Jungle","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","LGD Gaming",4,"GODV (Wei Zhen)","Mid","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","LGD Gaming",5,"imp","Bot","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","LGD Gaming",6,"Pyl (Chen Bo)","Support","China"
"Worlds 2015","Worlds 2015","2015 Season World Championship","LGD Gaming",7,"FireFox","Coach","Taiwan"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Origen",1,"Soaz","Top","France"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Origen",2,"Amazing (Maurice Stückenschneider)","Jungle","Germany"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Origen",3,"xPeke","Mid","Spain"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Origen",4,"Niels","Bot","Denmark"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Origen",5,"Mithy","Support","Spain"
"Worlds 2015","Worlds 2015","2015 Season World Championship","Origen",6,"Hermit","Coach","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","paiN Gaming",1,"Mylon","Top","Brazil"
"Worlds 2015","Worlds 2015","2015 Season World Championship","paiN Gaming",2,"SirT","Jungle","Brazil"
"Worlds 2015","Worlds 2015","2015 Season World Championship","paiN Gaming",3,"Kami (Gabriel Bohm Santos)","Mid","Brazil"
"Worlds 2015","Worlds 2015","2015 Season World Championship","paiN Gaming",4,"brTT","Bot","Brazil"
"Worlds 2015","Worlds 2015","2015 Season World Championship","paiN Gaming",5,"Dioud","Support","France"
