"tournament","league","year","place","team","currentname","matches_won","matches_lost","games_won","games_lost"
"LCK 2022 Summer","LoL Champions Korea",2022,"9","Fredit BRION","OKSavingsBank BRION",3,15,11,31
"LCK 2023 Spring","LoL Champions Korea",2023,"1","T1","T1",17,1,35,8
"LCK 2023 Spring","LoL Champions Korea",2023,"10","Nongshim RedForce","Nongshim RedForce",2,16,9,33
"LCK 2023 Spring","LoL Champions Korea",2023,"2","Gen.G","Gen.G",13,5,30,13
"LCK 2023 Spring","LoL Champions Korea",2023,"3","KT Rolster","KT Rolster",13,5,28,15
"LCK 2023 Spring","LoL Champions Korea",2023,"4","Dplus KIA","Dplus KIA",12,6,26,14
"LCK 2023 Spring","LoL Champions Korea",2023,"5","Hanwha Life Esports","Hanwha Life Esports",10,8,24,21
"LCK 2023 Spring","LoL Champions Korea",2023,"6","Liiv SANDBOX","BNK FearX",10,8,24,23
"LCK 2023 Spring","LoL Champions Korea",2023,"7","Kwangdong Freecs","Kwangdong Freecs",6,12,17,28
"LCK 2023 Spring","LoL Champions Korea",2023,"8","BRION","OKSavingsBank BRION",4,14,13,31
"LCK 2023 Spring","LoL Champions Korea",2023,"9","DRX","DRX",3,15,12,32
"LCK 2023 Summer","LoL Champions Korea",2023,"1","KT Rolster","KT Rolster",17,1,35,6
"LCK 2023 Summer","LoL Champions Korea",2023,"10","Kwangdong Freecs","Kwangdong Freecs",4,14,10,28
"LCK 2023 Summer","LoL Champions Korea",2023,"2","Gen.G","Gen.G",16,2,32,7
"LCK 2023 Summer","LoL Champions Korea",2023,"3","Hanwha Life Esports","Hanwha Life Esports",12,6,27,14
"LCK 2023 Summer","LoL Champions Korea",2023,"4","Dplus KIA","Dplus KIA",11,7,24,16
"LCK 2023 Summer","LoL Champions Korea",2023,"5","T1","T1",9,9,21,21
"LCK 2023 Summer","LoL Champions Korea",2023,"6","DRX","DRX",6,12,16,27
"LCK 2023 Summer","LoL Champions Korea",2023,"7","Liiv SANDBOX","BNK FearX",5,13,13,27
"LCK 2023 Summer","LoL Champions Korea",2023,"8","OKSavingsBank BRION","OKSavingsBank BRION",5,13,15,30
"LCK 2023 Summer","LoL Champions Korea",2023,"9","Nongshim RedForce","Nongshim RedForce",5,13,13,30
"LCK 2024 Spring","LoL Champions Korea",2024,"1","Gen.G","Gen.G",17,1,34,5
"LCK 2024 Spring","LoL Champions Korea",2024,"10","OKSavingsBank BRION","OKSavingsBank BRION",3,15,8,33
"LCK 2024 Spring","LoL Champions Korea",2024,"2","T1","T1",15,3,32,8
"LCK 2024 Spring","LoL Champions Korea",2024,"3","Hanwha Life Esports","Hanwha Life Esports",15,3,30,11
"LCK 2024 Spring","LoL Champions Korea",2024,"4","KT Rolster","KT Rolster",11,7,26,18
"LCK 2024 Spring","LoL Champions Korea",2024,"5","Dplus KIA","Dplus KIA",9,9,21,21
"LCK 2024 Spring","LoL Champions Korea",2024,"6","Kwangdong Freecs","Kwangdong Freecs",7,11,18,25
"LCK 2024 Spring","LoL Champions Korea",2024,"7","FearX","BNK FearX",6,12,16,27
"LCK 2024 Spring","LoL Champions Korea",2024,"8","Nongshim RedForce","Nongshim RedForce",4,14,14,30
"LCK 2024 Spring","LoL Champions Korea",2024,"9","DRX","DRX",3,15,11,32
"LCK 2024 Summer","LoL Champions Korea",2024,"1","Gen.G","Gen.G",17,1,35,3
"LCK 2024 Summer","LoL Champions Korea",2024,"10","OKSavingsBank BRION","OKSavingsBank BRION",2,16,8,33
"LCK 2024 Summer","LoL Champions Korea",2024,"2","Hanwha Life Esports","Hanwha Life Esports",14,4,30,11
"LCK 2024 Summer","LoL Champions Korea",2024,"3","Dplus KIA","Dplus KIA",13,5,29,16
"LCK 2024 Summer","LoL Champions Korea",2024,"4","T1","T1",11,7,25,19
"LCK 2024 Summer","LoL Champions Korea",2024,"5","KT Rolster","KT Rolster",9,9,21,23
"LCK 2024 Summer","LoL Champions Korea",2024,"6","BNK FearX","BNK FearX",8,10,17,24
"LCK 2024 Summer","LoL Champions Korea",2024,"7","Kwangdong Freecs","Kwangdong Freecs",7,11,21,23
"LCK 2024 Summer","LoL Champions Korea",2024,"8","Nongshim RedForce","Nongshim RedForce",5,13,13,27
"LCK 2024 Summer","LoL Champions Korea",2024,"9","DRX","DRX",4,14,10,30
